Id,ParentId,ChildrenIds,DoIds,level
파주,경기,[],"['금촌2동', '문산읍', '운정1동', '운정2동', '운정3동', '월롱면', '파주읍', '광탄면', '교하동', '금촌1동', '장단면']",2
평택,경기,[],"['서정동', '세교동', '신장2동', '원평동', '진위면']",2
하남,경기,[],"['덕풍3동', '신장1동', '신장2동', '초이동', '풍산동', '감북동']",2
화성,경기,[],"['동탄3동', '매송면', '진안동']",2
고양,경기,"['덕양구', '일산동구', '일산서구']",[],2
성남,경기,"['분당구', '수정구', '중원구']",[],2
수원,경기,"['권선구', '영통구', '장안구', '팔달구']",[],2
안산,경기,"['단원구', '상록구']",[],2
안양,경기,"['동안구', '만안구']",[],2
용인,경기,"['기흥구', '수지구', '처인구']",[],2
덕양구,고양,[],"['대덕동', '행신3동', '행주동', '성사1동', '화전동', '화정1동', '신도동', '화정2동', '창릉동', '효자동', '행신1동', '흥도동', '능곡동']",3
일산동구,고양,[],"['마두1동', '풍산동', '마두2동', '백석1동', '백석2동', '식사동', '장항1동', '장항2동', '정발산동', '중산동']",3
일산서구,고양,[],"['대화동', '송산동', '일산1동', '일산2동', '일산3동', '주엽1동', '주엽2동', '탄현동']",3
분당구,성남,[],"['금곡동', '백현동', '이매1동', '정자2동', '정자3동', '분당동', '서현1동', '서현2동', '수내1동', '구미1동', '구미동', '수내2동', '수내3동', '야탑1동', '야탑2동']",3
수정구,성남,[],"['수진2동', '시흥동', '신촌동', '신흥1동', '신흥2동', '고등동', '단대동', '신흥3동', '양지동', '산성동', '태평1동', '수진1동', '태평2동', '태평3동']",3
중원구,성남,[],"['상대원1동', '상대원2동', '상대원3동', '성남동', '은행2동', '중앙동', '하대원동', '금광2동', '도촌동']",3
권선구,수원,[],['평동'],3
영통구,수원,[],['매탄3동'],3
장안구,수원,[],['율천동'],3
팔달구,수원,[],"['매교동', '매산동', '인계동', '화서2동']",3
단원구,안산,[],"['선부3동', '초지동', '호수동']",3
상록구,안산,[],"['일동', '반월동', '본오2동', '이동']",3
동안구,안양,[],"['갈산동', '관양1동', '관양2동', '귀인동', '달안동', '범계동', '부림동', '부흥동', '비산1동', '비산2동', '비산3동', '평촌동', '호계1동', '호계2동', '호계3동']",3
만안구,안양,[],"['석수1동', '석수2동', '안양1동', '안양2동', '안양3동', '안양4동', '안양5동', '안양6동', '안양7동', '안양8동']",3
기흥구,용인,[],"['상하동', '신갈동', '구갈동', '동백동', '마북동', '보정동', '상갈동']",3
수지구,용인,[],"['풍덕천2동', '동천동', '상현1동', '성복동', '죽전2동']",3
처인구,용인,[],"['역삼동', '유림동', '중앙동', '포곡읍']",3
